MasterCB,NomMcbInputVoltage,McbSupplyVoltage,Phase,MaxLineCurrent,Load,ModuleCB,OutputReceptacle,OprSupplyVoltage,ReceptacleType,MaxCurrent,OprLoad,Maker
MCB1,400,0,L1,32,0,1,1,0,"Locking IEC 60320 C19 2-pole, 3-wire",16,0,Raritan
MCB1,400,0,L1,32,0,1,2,0,"Locking IEC 60320 C13 2-pole, 3-wire",10,0,Raritan
MCB1,400,0,L1,32,0,1,3,0,"Locking IEC 60320 C13 2-pole, 3-wire",10,0,Raritan
MCB1,400,0,L1,32,0,1,4,0,"Locking IEC 60320 C13 2-pole, 3-wire",10,0,Raritan
MCB1,400,0,L1,32,0,1,5,0,"Locking IEC 60320 C13 2-pole, 3-wire",10,0,Raritan
MCB1,400,0,L1,32,0,1,6,0,"Locking IEC 60320 C13 2-pole, 3-wire",10,0,Raritan
MCB1,400,0,L1,32,0,1,7,0,"Locking IEC 60320 C13 2-pole, 3-wire",10,0,Raritan
MCB1,400,0,L2,32,0,2,8,0,"Locking IEC 60320 C19 2-pole, 3-wire",16,0,Raritan
MCB1,400,0,L2,32,0,2,9,0,"Locking IEC 60320 C13 2-pole, 3-wire",10,0,Raritan
MCB1,400,0,L2,32,0,2,10,0,"Locking IEC 60320 C13 2-pole, 3-wire",10,0,Raritan
MCB1,400,0,L2,32,0,2,11,0,"Locking IEC 60320 C13 2-pole, 3-wire",10,0,Raritan
MCB1,400,0,L2,32,0,2,12,0,"Locking IEC 60320 C13 2-pole, 3-wire",10,0,Raritan
MCB1,400,0,L2,32,0,2,13,0,"Locking IEC 60320 C13 2-pole, 3-wire",10,0,Raritan
MCB1,400,0,L2,32,0,2,14,0,"Locking IEC 60320 C13 2-pole, 3-wire",10,0,Raritan
MCB1,400,0,L3,32,0,3,15,0,"Locking IEC 60320 C19 2-pole, 3-wire",16,0,Raritan
MCB1,400,0,L3,32,0,3,16,0,"Locking IEC 60320 C13 2-pole, 3-wire",10,0,Raritan
MCB1,400,0,L3,32,0,3,17,0,"Locking IEC 60320 C13 2-pole, 3-wire",10,0,Raritan
MCB1,400,0,L3,32,0,3,18,0,"Locking IEC 60320 C13 2-pole, 3-wire",10,0,Raritan
MCB1,400,0,L3,32,0,3,19,0,"Locking IEC 60320 C13 2-pole, 3-wire",10,0,Raritan
MCB1,400,0,L3,32,0,3,20,0,"Locking IEC 60320 C13 2-pole, 3-wire",10,0,Raritan
MCB1,400,0,L3,32,0,3,21,0,"Locking IEC 60320 C13 2-pole, 3-wire",10,0,Raritan
MCB1,400,0,L1,32,0,4,22,0,"Locking IEC 60320 C19 2-pole, 3-wire",16,0,Raritan
MCB1,400,0,L1,32,0,4,23,0,"Locking IEC 60320 C13 2-pole, 3-wire",10,0,Raritan
MCB1,400,0,L1,32,0,4,24,0,"Locking IEC 60320 C13 2-pole, 3-wire",10,0,Raritan
MCB1,400,0,L1,32,0,4,25,0,"Locking IEC 60320 C13 2-pole, 3-wire",10,0,Raritan
MCB1,400,0,L1,32,0,4,26,0,"Locking IEC 60320 C13 2-pole, 3-wire",10,0,Raritan
MCB1,400,0,L1,32,0,4,27,0,"Locking IEC 60320 C13 2-pole, 3-wire",10,0,Raritan
MCB1,400,0,L1,32,0,4,28,0,"Locking IEC 60320 C13 2-pole, 3-wire",10,0,Raritan
MCB1,400,0,L2,32,0,5,29,0,"Locking IEC 60320 C19 2-pole, 3-wire",16,0,Raritan
MCB1,400,0,L2,32,0,5,30,0,"Locking IEC 60320 C13 2-pole, 3-wire",10,0,Raritan
MCB1,400,0,L2,32,0,5,31,0,"Locking IEC 60320 C13 2-pole, 3-wire",10,0,Raritan
MCB1,400,0,L2,32,0,5,32,0,"Locking IEC 60320 C13 2-pole, 3-wire",10,0,Raritan
MCB1,400,0,L2,32,0,5,33,0,"Locking IEC 60320 C13 2-pole, 3-wire",10,0,Raritan
MCB1,400,0,L2,32,0,5,34,0,"Locking IEC 60320 C13 2-pole, 3-wire",10,0,Raritan
MCB1,400,0,L2,32,0,5,35,0,"Locking IEC 60320 C13 2-pole, 3-wire",10,0,Raritan
MCB1,400,0,L3,32,0,6,36,0,"Locking IEC 60320 C19 2-pole, 3-wire",16,0,Raritan
MCB1,400,0,L3,32,0,6,37,0,"Locking IEC 60320 C13 2-pole, 3-wire",10,0,Raritan
MCB1,400,0,L3,32,0,6,38,0,"Locking IEC 60320 C13 2-pole, 3-wire",10,0,Raritan
MCB1,400,0,L3,32,0,6,39,0,"Locking IEC 60320 C13 2-pole, 3-wire",10,0,Raritan
MCB1,400,0,L3,32,0,6,40,0,"Locking IEC 60320 C13 2-pole, 3-wire",10,0,Raritan
MCB1,400,0,L3,32,0,6,41,0,"Locking IEC 60320 C13 2-pole, 3-wire",10,0,Raritan
MCB1,400,0,L3,32,0,6,42,0,"Locking IEC 60320 C13 2-pole, 3-wire",10,0,Raritan